Archivo,Parametro_Analizado,Ancho_Pulso,Tipo_Variable_X,Grupo,Valor_X,Valor_Y
Analisis_Angulo.xlsx,Angulo,150 ns,Dens,P50,0.169765272631355,84.02725
Analisis_Angulo.xlsx,Angulo,150 ns,Dens,P70,0.237671381683897,73.6285
Analisis_Angulo.xlsx,Angulo,150 ns,Dens,P30,0.101859163578813,130.11975
Analisis_Angulo.xlsx,Angulo,150 ns,Dens,P50,0.169765272631355,122.8125
Analisis_Angulo.xlsx,Angulo,150 ns,Dens,P70,0.237671381683897,118.2005
Analisis_Angulo.xlsx,Angulo,150 ns,Dens,P30,0.1527887453682195,114.919
Analisis_Angulo.xlsx,Angulo,150 ns,Dens,P50,0.2546479089470325,150.94275
Analisis_Angulo.xlsx,Angulo,150 ns,Dens,P70,0.3565070725258455,149.29025
Analisis_Angulo.xlsx,Angulo,150 ns,Dens,P30,0.1527887453682195,122.90825
Analisis_Angulo.xlsx,Angulo,150 ns,Dens,P50,0.2546479089470325,106.1255
Analisis_Angulo.xlsx,Angulo,150 ns,Dens,P70,0.3565070725258455,99.77125
Analisis_Angulo.xlsx,Angulo,150 ns,Dens,P30,0.1527887453682195,150.77675
Analisis_Angulo.xlsx,Angulo,150 ns,Dens,P50,0.2546479089470325,133.339
Analisis_Angulo.xlsx,Angulo,150 ns,Dens,P70,0.3565070725258455,132.61875
Analisis_Angulo.xlsx,Angulo,150 ns,Dens,P30,0.305577490736439,155.15025
Analisis_Angulo.xlsx,Angulo,150 ns,Dens,P50,0.5092958178940651,84.666
Analisis_Angulo.xlsx,Angulo,150 ns,Dens,P70,0.713014145051691,57.96275
Analisis_Angulo.xlsx,Angulo,150 ns,Dens,P30,0.305577490736439,153.67
Analisis_Angulo.xlsx,Angulo,150 ns,Dens,P50,0.5092958178940651,144.37375
Analisis_Angulo.xlsx,Angulo,150 ns,Dens,P70,0.713014145051691,139.7245
Analisis_Angulo.xlsx,Angulo,150 ns,Dens,P30,0.305577490736439,160.90475
Analisis_Angulo.xlsx,Angulo,150 ns,Dens,P50,0.5092958178940651,159.46675
Analisis_Angulo.xlsx,Angulo,150 ns,Dens,P70,0.713014145051691,162.07925
Analisis_Angulo.xlsx,Angulo,200 ns,Solap,P30,80.0,156.65325
Analisis_Angulo.xlsx,Angulo,200 ns,Solap,P50,80.0,155.2325
Analisis_Angulo.xlsx,Angulo,200 ns,Solap,P70,80.0,145.89075
Analisis_Angulo.xlsx,Angulo,200 ns,Solap,P30,88.0,141.41525
Analisis_Angulo.xlsx,Angulo,200 ns,Solap,P50,88.0,137.16575
Analisis_Angulo.xlsx,Angulo,200 ns,Solap,P70,88.0,123.5345
Analisis_Angulo.xlsx,Angulo,200 ns,Solap,P30,90.0,136.7045
